step=0	epoch=0	loss=0.6922	train_acc=0.5000	val_acc=0.4932
step=121	epoch=0	loss=0.0651	train_acc=0.9688	val_acc=0.9519
step=122	epoch=0	loss=0.0533	train_acc=1.0000	val_acc=0.9519
step=123	epoch=0	loss=0.1925	train_acc=0.9375	val_acc=0.9528
step=124	epoch=0	loss=0.0649	train_acc=0.9688	val_acc=0.9528
step=125	epoch=0	loss=0.0720	train_acc=0.9688	val_acc=0.9519
step=126	epoch=0	loss=0.1542	train_acc=0.9375	val_acc=0.9528
step=127	epoch=0	loss=0.2409	train_acc=0.9062	val_acc=0.9555
step=128	epoch=0	loss=0.0505	train_acc=0.9688	val_acc=0.9555
step=129	epoch=0	loss=0.0316	train_acc=1.0000	val_acc=0.9519
step=130	epoch=0	loss=0.1159	train_acc=0.9375	val_acc=0.9491
step=131	epoch=0	loss=0.1405	train_acc=0.9375	val_acc=0.9491
step=132	epoch=0	loss=0.0495	train_acc=0.9688	val_acc=0.9500
step=133	epoch=0	loss=0.1345	train_acc=0.9688	val_acc=0.9482
step=134	epoch=0	loss=0.2555	train_acc=0.9062	val_acc=0.9510
step=135	epoch=0	loss=0.0896	train_acc=0.9375	val_acc=0.9546
step=136	epoch=0	loss=0.2422	train_acc=0.9375	val_acc=0.9528
step=137	epoch=0	loss=0.2031	train_acc=0.8750	val_acc=0.9519
